time,humidity,density,windSin,windCos,windGust,windGust2,windGust3,windSpeed,windSpeed2,windSpeed3,power
5/06/2019 10:30,0.82,1.299155379969581,0.8090169943749475,-0.587785252292473,2.81,7.896100000000001,22.188041000000002,2.1,4.41,9.261000000000001,13.20833333
5/06/2019 11:30,0.82,1.3030450989169249,0.819152044288992,-0.5735764363510458,2.65,7.0225,18.609624999999998,2.01,4.040099999999999,8.120600999999997,13.15833333
5/06/2019 12:30,0.82,1.3057126074641856,0.8290375725550417,-0.5591929034707467,2.53,6.400899999999999,16.194276999999996,1.95,3.8024999999999998,7.414874999999999,11.41666667
5/06/2019 13:30,0.85,1.3076794571351031,0.8660254037844387,-0.4999999999999998,2.65,7.0225,18.609624999999998,2.01,4.040099999999999,8.120600999999997,5.591666667
5/06/2019 14:30,0.88,1.3086466219116455,0.8987940462991669,-0.4383711467890775,2.77,7.6729,21.253933,2.08,4.3264000000000005,8.998912,24.60833333
5/06/2019 15:30,0.89,1.309527086838479,0.9205048534524404,-0.3907311284892736,2.83,8.0089,22.665187000000003,2.09,4.368099999999999,9.129328999999998,39.58333333
5/06/2019 16:30,0.89,1.309680842269983,0.9205048534524404,-0.3907311284892736,2.83,8.0089,22.665187000000003,2.06,4.2436,8.741816,19.35833333
5/06/2019 17:30,0.88,1.3100418755699945,0.9205048534524404,-0.3907311284892736,2.82,7.952399999999999,22.425767999999998,2.01,4.040099999999999,8.120600999999997,13.725
5/06/2019 18:30,0.87,1.31190574681429,0.9271838545667874,-0.37460659341591207,2.73,7.4529,20.346417,1.92,3.6864,7.077887999999999,9.15
5/06/2019 19:30,0.87,1.3147738995989284,0.9396926207859084,-0.3420201433256687,2.54,6.4516,16.387064000000002,1.8,3.24,5.832000000000001,13.875
5/06/2019 20:30,0.87,1.3162135679150537,0.9563047559630355,-0.29237170472273666,2.46,6.0516,14.886935999999999,1.73,2.9929,5.1777169999999995,19.56666667
5/06/2019 21:30,0.88,1.3129829046809427,0.9659258262890683,-0.25881904510252085,2.87,8.2369,23.639903000000004,1.88,3.5343999999999998,6.644671999999999,20.85
5/06/2019 22:30,0.89,1.3053893669536223,0.9743700647852352,-0.2249510543438648,3.75,14.0625,52.734375,2.27,5.1529,11.697083000000001,22.10833333
5/06/2019 23:30,0.87,1.2944498451491024,0.9961946980917455,-0.08715574274765824,4.95,24.5025,121.28737500000001,2.97,8.820900000000002,26.198073000000004,29.55
6/06/2019 00:30,0.82,1.2831777000163844,1.0,6.123233995736766e-17,5.51,30.3601,167.28415099999998,3.47,12.0409,41.781923000000006,40.00833333
6/06/2019 01:30,0.73,1.274345253983989,0.9986295347545738,0.052335956242943966,4.98,24.800400000000003,123.50599200000003,3.41,11.628100000000002,39.651821000000005,27.68333333
6/06/2019 02:30,0.63,1.2659947433488925,0.9961946980917455,0.08715574274765814,4.27,18.232899999999997,77.85448299999997,3.26,10.6276,34.64597599999999,13.375
6/06/2019 03:30,0.55,1.2584510417604964,0.992546151641322,0.12186934340514749,3.68,13.5424,49.836032,3.09,9.5481,29.503628999999997,7.858333332999999
6/06/2019 04:30,0.49,1.2526725812056076,0.992546151641322,0.12186934340514749,3.18,10.112400000000001,32.15743200000001,2.89,8.3521,24.137569000000003,3.575
